CGATS.17
FORMAT_VERSION	2
Reference_sRGB_IEC_61966-2.1_Synthetic_XYZ_surface10
ICDM Workgroup 5 Color Volume & Accuracy 
by Karl Lang, Lumita, Inc.
CREATED Thursday, March 05, 2020
BEGIN_DATA_FORMAT
SampleID RGB_R RGB_G RGB_B LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 602
BEGIN_DATA
510 204 255 229 93.1019 3.06404 3.06223
511 204 255 255 93.5206 10.8102 -9.80583
512 229 255 25 93.0626 -17.5398 88.193
513 229 255 51 93.1081 -16.5869 83.1198
514 229 255 76 93.184 -15.0034 75.6084
515 229 255 102 93.3014 -12.5839 65.7049
516 229 255 127 93.4548 -9.46894 54.8341
517 229 255 153 93.6595 -5.38789 42.6811
518 229 255 178 93.9024 -0.656188 30.5455
519 229 255 204 94.2052 5.08297 17.7076
520 229 255 229 94.5461 11.3517 5.30678
521 229 255 255 94.9541 18.6 -7.54753
522 25 25 255 27.5438 127.375 -115.705
523 25 51 255 31.5562 113.847 -108.962
524 25 76 255 37.0634 96.2261 -99.759
525 25 102 255 43.8304 76.0912 -88.5423
526 25 127 255 50.8682 56.894 -76.9952
527 25 153 255 58.4473 38.1046 -64.7086
528 25 178 255 65.8315 21.522 -52.8991
529 25 204 255 73.5245 5.85938 -40.7777
530 25 229 255 80.89 -7.78721 -29.357
531 51 25 255 28.7078 126.692 -113.728
532 51 51 255 32.538 113.85 -107.299
533 51 76 255 37.8565 96.8872 -98.4216
534 51 102 255 44.457 77.2558 -87.4918
535 51 127 255 51.3713 58.3492 -76.1574
536 51 153 255 58.854 39.7044 -64.0368
537 51 178 255 66.1686 23.1578 -52.347
538 51 204 255 73.8064 7.46612 -40.3204
539 51 229 255 81.1308 -6.24488 -28.9702
540 76 25 255 30.5318 125.837 -110.634
541 76 51 255 34.0987 113.976 -104.658
542 76 76 255 39.1348 97.9918 -96.2677
543 76 102 255 45.4784 79.1367 -85.7807
